SectionNodeId,SectionNodeName,EasyVisaId,QuestVersion,Name,DisplayText,RuleClassName,RuleParam,DisplayOrderChildren,WrapperName,StyleClassName
Sec_1,Intro Questions,SubSec_1,quest_version_1,previousImmigrationFilledForAnotherPerson,Previous Immigration (Visa) Petitions You Filed for Another Person,,,,,
Sec_1,Intro Questions,SubSec_2,quest_version_1,petitionForOtherRelatives,Petitions for Other Relatives,,,,,
Sec_1,Intro Questions,SubSec_3,quest_version_1,submittedAffidavitOfSupport,Previously Submitted Affidavit's of Support,,,,,
Sec_1,Intro Questions,SubSec_4,quest_version_1,sponsorshipRelationship,Sponsorship Relationship,,,,,
,,,,,,,,,,
Sec_2,Name,SubSec_5,quest_version_1,currentLegalName,Current Legal Name,,,,,
Sec_2,Name,SubSec_6,quest_version_1,otherNamesUsed,Other Names Used,,,,,
,,,,,,,,,,
Sec_addressHistory,Address History,SubSec_currentPhysicalAddress,quest_version_1,currentPhysicalAddress,Current Physical Address,,,"SubSec_currentPhysicalAddress,Q_42,Q_43,Q_44,Q_45,Q_46,Q_47,Q_48,Q_49,Q_50,Q_51,Q_52,Q_6000,Q_53",,
Sec_addressHistory,Address History,SubSec_previousPhysicalAddress,quest_version_1,previousPhysicalAddress,Previous Physical Address(es) within 5 Years,WithInNumberOfYears,"Sec_addressHistory/SubSec_currentPhysicalAddress/Q_52,5",,,
Sec_addressHistory,Address History,SubSec_residedSince18,quest_version_1,residedSince18,U.S. States and Foreign Countries Resided in Since 18th Birthday,,,,,
Sec_addressHistory,Address History,SubSec_currentMailingAddress,quest_version_1,currentMailingAddress,Current Mailing Address,,,"SubSec_currentMailingAddress,Q_68,Q_69,Q_70,Q_71,Q_72,Q_73,Q_74,Q_75,Q_76,Q_77,Q_78,Q_79",,
,,,,,,,,,,
Sec_contactInformation,Contact Information,SubSec_mobilePhoneNumber,quest_version_1,mobilePhoneNumber,Mobile Phone Number,,,,,
Sec_contactInformation,Contact Information,SubSec_daytimeAndHomePhoneNumber,quest_version_1,daytimeAndHomePhoneNumber,Daytime/Home Phone Number,,,,,
Sec_contactInformation,Contact Information,SubSec_officePhoneNumber,quest_version_1,officePhoneNumber,Office Phone Number,,,,,
Sec_contactInformation,Contact Information,SubSec_email,quest_version_1,email,email,,,,,
,,,,,,,,,,
Sec_birthInformation,Birth Information,SubSec_birthInformation,quest_version_1,birthInformation,Birth Information,,,"SubSec_birthInformation,Q_87,Q_88,Q_89,Q_90,Q_91,Q_92,Q_93,Q_94",,
,,,,,,,,,,
Sec_biographicInformation,Biographic Information,SubSec_ethnicity,quest_version_1,ethnicity,Ethnicity (Select only one box),,,,,
Sec_biographicInformation,Biographic Information,SubSec_race,quest_version_1,race,Race (Select all applicable boxes),,,,,
Sec_biographicInformation,Biographic Information,SubSec_height,quest_version_1,height,Height,,,,,
Sec_biographicInformation,Biographic Information,SubSec_weight,quest_version_1,weight,Weight,,,,,
Sec_biographicInformation,Biographic Information,SubSec_eyeColor,quest_version_1,eyeColor,Eye Color,,,,,
Sec_biographicInformation,Biographic Information,SubSec_hairColor,quest_version_1,hairColor,Hair Color,,,,,
